0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
97068, ,PE1003,I2, 健康體適能,  ,1,002 50010,半年,必帶,莊國禎,2,"[18, 19]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。7030財金系B合。, ,加入,"{'二': ['3', '4']}"
97069, ,PE1003,I3, 健康體適能,  ,1,002 50010,半年,必帶,莊國禎,2,"[46, 47]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。7040國企系B合。, ,加入,"{'四': ['1', '2']}"
97070, ,PE1003,I4, 健康體適能,  ,1,002 50010,半年,必帶,賴韻宇,2,"[48, 49]",50,"健康體適能 且 限學號單號,本校修課人數上限：50人",初選不開放。1010中文系B合+1011中文系國際班B合。, ,加入,"{'四': ['3', '4']}"
97071, ,PE1003,I5, 健康體適能,  ,1,002 50010,半年,必帶,莊國禎,2,"[66, 67]",50,"健康體適能 且 限學號末二位除３餘１,本校修課人數上限：50人",初選不開放。5020機械系D合。, ,加入,"{'五': ['6', '7']}"
97072, ,PE1003,I6, 健康體適能,  ,1,002 50010,半年,必帶,莊國禎,2,"[68, 69]",50,"健康體適能,本校修課人數上限：50人",初選不開放。B020生技系一合。, ,加入,"{'五': ['8', '9']}"
97073, ,PE1003,I7, 健康體適能,  ,1,002 50010,半年,必帶,王翊澤,2,"[16, 17]",50,"健康體適能,本校修課人數上限：50人",初選不開放。3023政治系公行組一合。, ,加入,"{'二': ['1', '2']}"
97074, ,PE1003,I8, 健康體適能,  ,1,002 50010,半年,必帶,王翊澤,2,"[18, 19]",50,"健康體適能,本校修課人數上限：50人",初選不開放。7011工管系企管組一合。, ,加入,"{'二': ['3', '4']}"
97075, ,PE1003,I9, 健康體適能,  ,1,002 50010,半年,必帶,王翊澤,2,"[31, 32]",50,"健康體適能,本校修課人數上限：50人",初選不開放。5080醫工系+6060動科系(二合)。, ,加入,"{'三': ['1', '2']}"
97076, ,PE1003,J1, 健康體適能,  ,1,002 50010,半年,必帶,王翊澤,2,"[33, 34]",50,"健康體適能,本校修課人數上限：50人",初選不開放。1050人類系一合。, ,加入,"{'三': ['3', '4']}"
97077, ,PE1003,J2, 健康體適能,  ,1,002 50010,半年,必帶,王翊澤,2,"[61, 62]",50,"健康體適能,本校修課人數上限：50人",初選不開放。3100社工系一合。, ,加入,"{'五': ['1', '2']}"
97078, ,PE1003,J3, 健康體適能,  ,1,002 50010,半年,必帶,王翊澤,2,"[66, 67]",50,"健康體適能 且 限學號末二位除３餘２,本校修課人數上限：50人",初選不開放。5020機械系E合。, ,加入,"{'五': ['6', '7']}"
97079, ,PE1007,D6, 適應體育(生理班),  ,1,002 50080,半年,必修,黃英哲,2,"[66, 67]",15,"專項運動學群,本校修課人數上限：15人",需檢具健保局特約區域醫院以上之醫生證明。,  ,加入,"{'五': ['6', '7']}"
97080, ,PE1005,42, 適應體育(肢體班),  ,1,002 50090,半年,必修,林信甫,2,"[51, 52]",10,"專項運動學群,本校修課人數上限：10人",需檢具健保局特約區域醫院以上之醫生證明。, ,加入,"{'四': ['6', '7']}"
97083, ,PE2028,82, 現代舞,  ,1,002 50290,半年,必修,李文心,2,"[36, 37]",40,"專項運動學群,本校修課人數上限：40人",請自備乾淨球鞋。, ,加入,"{'三': ['6', '7']}"
97084, ,PE2028,83, 現代舞,  ,1,002 50290,半年,必修,李文心,2,"[38, 39]",40,"專項運動學群,本校修課人數上限：40人",請自備乾淨球鞋。, ,加入,"{'三': ['8', '9']}"
97085, ,PE2030,H8, 標準舞,  ,1,002 50310,半年,必修,王學富,2,"[36, 37]",50,"專項運動學群,本校修課人數上限：50人",請自備舞鞋。, ,加入,"{'三': ['6', '7']}"
97086, ,PE2034,30, 太極劍,  ,1,002 50370,半年,必修,游添燈,2,"[31, 32]",60,"專項運動學群,本校修課人數上限：60人",請自備乾淨球鞋。上課地點：綜館技擊ABC。, ,加入,"{'三': ['1', '2']}"
97087, ,PE2036,26, 太極拳初級,  ,1,002 50390,半年,必修,游添燈,2,"[1, 2]",60,"專項運動學群,本校修課人數上限：60人",請自備乾淨球鞋。, ,加入,"{'一': ['1', '2']}"
97088, ,PE2036,27, 太極拳初級,  ,1,002 50390,半年,必修,游添燈,2,"[3, 4]",60,"專項運動學群,本校修課人數上限：60人",請自備乾淨球鞋。, ,加入,"{'一': ['3', '4']}"
97089, ,PE2036,28, 太極拳初級,  ,1,002 50390,半年,必修,游添燈,2,"[16, 17]",60,"專項運動學群,本校修課人數上限：60人",請自備乾淨球鞋。, ,加入,"{'二': ['1', '2']}"
